type_id,type_name,possession_type
1,Pass,actif
2,OffsidePass,actif
3,TakeOn,actif
4,Foul,neutre
6,CornerAwarded,neutre
7,Tackle,passif
8,Interception,actif
10,Save,passif
11,Claim,actif
12,Clearance,passif
13,MissedShots,actif
14,ShotOnPost,actif
15,SavedShot,actif
16,Goal,actif
17,Card,neutre
18,SubstitutionOff,neutre
19,SubstitutionOn,neutre
30,End,neutre
32,Start,neutre
34,FormationSet,neutre
40,FormationChange,neutre
41,Punch,passif
42,GoodSkill,actif
44,Aerial,passif
45,Challenge,passif
49,BallRecovery,actif
50,Dispossessed,actif
51,Error,passif
52,KeeperPickup,actif
53,CrossNotClaimed,passif
54,Smother,actif
55,OffsideProvoked,neutre
56,ShieldBallOpp,passif
58,PenaltyFaced,neutre
59,KeeperSweeper,actif
60,ChanceMissed,passif
61,BallTouch,actif
74,BlockedPass,passif
10000,OffsideGiven,neutre
