alias,club_name,team_id
Ajaccio,Ajaccio,202606100007
AC Ajaccio,Ajaccio,202606100007
Gazélec Ajaccio,Ajaccio,202606100007
Gazelec Ajaccio,Ajaccio,202606100007
GFC Ajaccio,Ajaccio,202606100007
Amiens,Amiens,202606100014
Amiens SC,Amiens,202606100014
Angers,Angers,202606100018
Angers SCO,Angers,202606100018
Annecy,Annecy,202606100019
Annecy FC,Annecy,202606100019
Auxerre,Auxerre,202606100032
AJ Auxerre,Auxerre,202606100032
Bastia,Bastia,202606100040
SC Bastia,Bastia,202606100040
frBastia,Bastia,202606100040
Béziers,Béziers,202606100070
AS Béziers,Béziers,202606100070
Bordeaux,Bordeaux,202606100054
FC Girondins de Bordeaux,Bordeaux,202606100054
Girondins de Bordeaux,Bordeaux,202606100054
Brest,Brest,202606100063
Stade Brestois,Brest,202606100063
Stade Brestois 29,Brest,202606100063
Caen,Caen,202606100074
SM Caen,Caen,202606100074
Chambly,Chambly,202606100085
FC Chambly Oise,Chambly,202606100085
Châteauroux,Châteauroux,202606100089
LB Châteauroux,Châteauroux,202606100089
Berrichonne de Châteauroux,Châteauroux,202606100089
Clermont Foot,Clermont Foot,202606100091
Clermont,Clermont Foot,202606100091
Concarneau,Concarneau,202606100094
US Concarneau,Concarneau,202606100094
Dijon,Dijon,202606100110
Dijon FCO,Dijon,202606100110
Dunkerque,Dunkerque,202606100115
USL Dunkerque,Dunkerque,202606100115
Grenoble,Grenoble,202606100173
Grenoble Foot 38,Grenoble,202606100173
Guingamp,Guingamp,202606100175
EA Guingamp,Guingamp,202606100175
Laval,Laval,202606100212
Stade Lavallois,Laval,202606100212
Le Havre,Le Havre,202606100214
Le Havre AC,Le Havre,202606100214
HAC,Le Havre,202606100214
Lens,Lens,202606100223
RC Lens,Lens,202606100223
Lille,Lille,202606100226
LOSC,Lille,202606100226
LOSC Lille,Lille,202606100226
Lorient,Lorient,202606100233
FC Lorient,Lorient,202606100233
Lyon,Lyon,202606100238
Olympique Lyonnais,Lyon,202606100238
OL,Lyon,202606100238
Marseille,Olympique de Marseille,202606100277
Olympique de Marseille,Olympique de Marseille,202606100277
Olympique-Marseille,Olympique de Marseille,202606100277
OM,Olympique de Marseille,202606100277
Martigues,Martigues,202606100251
FC Martigues,Martigues,202606100251
Metz,Metz,202606100252
FC Metz,Metz,202606100252
Monaco,Monaco,202606100260
AS Monaco,Monaco,202606100260
Montpellier,Montpellier,202606100261
Montpellier HSC,Montpellier,202606100261
Nancy,Nancy,202606100263
AS Nancy Lorraine,Nancy,202606100263
Nantes,Nantes,202606100264
FC Nantes,Nantes,202606100264
Nice,Nice,202606100268
OGC Nice,Nice,202606100268
Nîmes,Nimes,202606100269
Nimes,Nimes,202606100269
Nîmes Olympique,Nimes,202606100269
Niort,Niort,202606100270
Chamois Niortais,Niort,202606100270
Orléans,Orléans,202606100279
US Orléans,Orléans,202606100279
Paris FC,Paris FC,202606100290
Paris-FC,Paris FC,202606100290
Paris Saint-Germain,Paris Saint-Germain,202606100291
PSG,Paris Saint-Germain,202606100291
Paris SG,Paris Saint-Germain,202606100291
Paris-Saint-Germain,Paris Saint-Germain,202606100291
Pau,Pau,202606100294
Pau FC,Pau,202606100294
Quevilly-Rouen,Quevilly-Rouen,202606100314
Quevilly,Quevilly-Rouen,202606100314
Quevilly-Rouen Métropole,Quevilly-Rouen,202606100314
Red Star,Red Star,202606100331
Red Star FC,Red Star,202606100331
Reims,Reims,202606100334
Stade de Reims,Reims,202606100334
Rennes,Rennes,202606100335
Stade Rennais,Rennes,202606100335
Rodez,Rodez,202606100338
Rodez AF,Rodez,202606100338
Saint-Étienne,Saint-Étienne,202606100347
Saint-Etienne,Saint-Étienne,202606100347
AS Saint-Étienne,Saint-Étienne,202606100347
AS Saint-Etienne,Saint-Étienne,202606100347
Sochaux,Sochaux,202606100370
FC Sochaux-Montbéliard,Sochaux,202606100370
Strasbourg,Strasbourg,202606100382
RC Strasbourg,Strasbourg,202606100382
Toulouse,Toulouse,202606100393
Toulouse FC,Toulouse,202606100393
Tours,Tours,202606100394
Tours FC,Tours,202606100394
Troyes,Troyes,202606100397
ESTAC Troyes,Troyes,202606100397
Valenciennes,Valenciennes,202606100406
Valenciennes FC,Valenciennes,202606100406
Arsenal,Arsenal,202606100024
Aston Villa,Aston Villa,202606100026
Aston-Villa,Aston Villa,202606100026
Barnsley,Barnsley,202606100039
enBarnsley,Barnsley,202606100039
Birmingham City,Birmingham City,202606100047
Birmingham,Birmingham City,202606100047
enBirmingham City,Birmingham City,202606100047
Blackburn Rovers,Blackburn,202606100048
Blackburn,Blackburn,202606100048
Blackpool,Blackpool,202606100049
Bolton Wanderers,Bolton,202606100053
Bolton,Bolton,202606100053
Bournemouth,Bournemouth,202606100058
AFC Bournemouth,Bournemouth,202606100058
Brentford,Brentford,202606100061
Brighton & Hove Albion,Brighton & Hove Albion,202606100064
Brighton,Brighton & Hove Albion,202606100064
Brighton and Hove Albion,Brighton & Hove Albion,202606100064
Brighton-and-Hove-Albion,Brighton & Hove Albion,202606100064
Bristol City,Bristol City,202606100065
Bristol,Bristol City,202606100065
Burnley,Burnley,202606100068
Burton Albion,Burton Albion,202606100069
Burton,Burton Albion,202606100069
Cardiff City,Cardiff City,202606100076
Cardiff,Cardiff City,202606100076
Charlton Athletic,Charlton,202606100086
Charlton,Charlton,202606100086
Chelsea,Chelsea,202606100087
Coventry City,Coventry City,202606100096
Coventry,Coventry City,202606100096
Crystal Palace,Crystal Palace,202606100100
Crystal-Palace,Crystal Palace,202606100100
Derby County,Derby County,202606100108
Derby,Derby County,202606100108
Everton,Everton,202606100127
Fulham,Fulham,202606100163
Huddersfield Town,Huddersfield,202606100190
Huddersfield,Huddersfield,202606100190
Hull City,Hull City,202606100191
Hull,Hull City,202606100191
Ipswich Town,Ipswich Town,202606100196
Ipswich,Ipswich Town,202606100196
Leeds United,Leeds United,202606100219
Leeds,Leeds United,202606100219
Leeds-United,Leeds United,202606100219
Leicester City,Leicester City,202606100222
Leicester,Leicester City,202606100222
Liverpool,Liverpool,202606100227
Luton Town,Luton,202606100236
Luton,Luton,202606100236
Manchester City,Manchester City,202606100248
Man City,Manchester City,202606100248
Man-City,Manchester City,202606100248
Manchester United,Manchester United,202606100249
Man United,Manchester United,202606100249
Man-Utd,Manchester United,202606100249
Man Utd,Manchester United,202606100249
Manchester Utd,Manchester United,202606100249
Middlesbrough,Middlesbrough,202606100253
Boro,Middlesbrough,202606100253
Millwall,Millwall,202606100255
Millwall FC,Millwall,202606100255
Newcastle United,Newcastle United,202606100267
Newcastle,Newcastle United,202606100267
Newcastle-United,Newcastle United,202606100267
Norwich City,Norwich City,202606100271
Norwich,Norwich City,202606100271
Nottingham Forest,Nottingham Forest,202606100272
Nott'm Forest,Nottingham Forest,202606100272
Nottingham-Forest,Nottingham Forest,202606100272
Oxford United,Oxford United,202606100282
Oxford,Oxford United,202606100282
Peterborough United,Peterborough,202606100298
Peterborough,Peterborough,202606100298
Plymouth Argyle,Plymouth Argyle,202606100300
Plymouth,Plymouth Argyle,202606100300
Portsmouth,Portsmouth,202606100305
Preston North End,Preston North End,202606100306
Preston,Preston North End,202606100306
Queens Park Rangers,QPR,202606100311
QPR,QPR,202606100311
Reading,Reading,202606100325
Reading FC,Reading,202606100325
Rotherham United,Rotherham,202606100341
Rotherham,Rotherham,202606100341
Sheffield United,Sheffield United,202606100360
Sheff Utd,Sheffield United,202606100360
Sheffield Utd,Sheffield United,202606100360
Sheffield Wednesday,Sheffield Wednesday,202606100361
Southampton,Southampton,202606100371
Stoke City,Stoke,202606100381
Stoke-City,Stoke,202606100381
Stoke,Stoke,202606100381
Sunderland,Sunderland,202606100385
Sunderland AFC,Sunderland,202606100385
Swansea City,Swansea,202606100386
Swansea-City,Swansea,202606100386
Swansea,Swansea,202606100386
Tottenham Hotspur,Tottenham Hotspur,202606100392
Tottenham-Hotspur,Tottenham Hotspur,202606100392
Tottenham,Tottenham Hotspur,202606100392
Spurs,Tottenham Hotspur,202606100392
Watford,Watford,202606100418
West Bromwich Albion,West Brom,202606100421
West-Bromwich-Albion,West Brom,202606100421
West Brom,West Brom,202606100421
Albion,West Brom,202606100421
WBA,West Brom,202606100421
West Ham United,West Ham United,202606100422
West Ham,West Ham United,202606100422
West-Ham-United,West Ham United,202606100422
