club_name,club_tm_id,league,season,market_value_m,club_url
1.FC Heidenheim 1846,2036,2. Bundesliga,2017-2018,14.48,https://www.transfermarkt.fr/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2017
1.FC Kaiserslautern,2,2. Bundesliga,2017-2018,21.63,https://www.transfermarkt.fr/1-fc-kaiserslautern/startseite/verein/2/saison_id/2017
1.FC Nürnberg,4,2. Bundesliga,2017-2018,33.2,https://www.transfermarkt.fr/1-fc-nurnberg/startseite/verein/4/saison_id/2017
1.FC Union Berlin,89,2. Bundesliga,2017-2018,23.15,https://www.transfermarkt.fr/1-fc-union-berlin/startseite/verein/89/saison_id/2017
Arminia Bielefeld,10,2. Bundesliga,2017-2018,18.0,https://www.transfermarkt.fr/arminia-bielefeld/startseite/verein/10/saison_id/2017
Eintracht Braunschweig,23,2. Bundesliga,2017-2018,18.38,https://www.transfermarkt.fr/eintracht-braunschweig/startseite/verein/23/saison_id/2017
FC Erzgebirge Aue,94,2. Bundesliga,2017-2018,13.28,https://www.transfermarkt.fr/fc-erzgebirge-aue/startseite/verein/94/saison_id/2017
FC Ingolstadt 04,4795,2. Bundesliga,2017-2018,34.33,https://www.transfermarkt.fr/fc-ingolstadt-04/startseite/verein/4795/saison_id/2017
FC St. Pauli,35,2. Bundesliga,2017-2018,17.88,https://www.transfermarkt.fr/fc-st-pauli/startseite/verein/35/saison_id/2017
Fortuna Düsseldorf,38,2. Bundesliga,2017-2018,37.28,https://www.transfermarkt.fr/fortuna-dusseldorf/startseite/verein/38/saison_id/2017
Holstein Kiel,269,2. Bundesliga,2017-2018,18.15,https://www.transfermarkt.fr/holstein-kiel/startseite/verein/269/saison_id/2017
MSV Duisburg,52,2. Bundesliga,2017-2018,13.1,https://www.transfermarkt.fr/msv-duisburg/startseite/verein/52/saison_id/2017
SG Dynamo Dresden,129,2. Bundesliga,2017-2018,19.25,https://www.transfermarkt.fr/sg-dynamo-dresden/startseite/verein/129/saison_id/2017
SSV Jahn Regensburg,109,2. Bundesliga,2017-2018,12.4,https://www.transfermarkt.fr/ssv-jahn-regensburg/startseite/verein/109/saison_id/2017
SV Darmstadt 98,105,2. Bundesliga,2017-2018,17.85,https://www.transfermarkt.fr/sv-darmstadt-98/startseite/verein/105/saison_id/2017
SV Sandhausen,254,2. Bundesliga,2017-2018,16.0,https://www.transfermarkt.fr/sv-sandhausen/startseite/verein/254/saison_id/2017
SpVgg Greuther Fürth,65,2. Bundesliga,2017-2018,16.65,https://www.transfermarkt.fr/spvgg-greuther-furth/startseite/verein/65/saison_id/2017
VfL Bochum,80,2. Bundesliga,2017-2018,20.3,https://www.transfermarkt.fr/vfl-bochum/startseite/verein/80/saison_id/2017
1.FC Heidenheim 1846,2036,2. Bundesliga,2018-2019,20.3,https://www.transfermarkt.fr/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2018
1.FC Köln,3,2. Bundesliga,2018-2019,83.5,https://www.transfermarkt.fr/1-fc-koln/startseite/verein/3/saison_id/2018
1.FC Magdeburg,187,2. Bundesliga,2018-2019,12.65,https://www.transfermarkt.fr/1-fc-magdeburg/startseite/verein/187/saison_id/2018
