|table_schema|table_name                 |column_name         |ordinal_position|data_type|
|------------|---------------------------|--------------------|----------------|---------|
|silver      |fbref_keeper               |date                |1               |DATE     |
|silver      |fbref_keeper               |time                |2               |VARCHAR  |
|silver      |fbref_keeper               |league_source       |3               |VARCHAR  |
|silver      |fbref_keeper               |day                 |4               |VARCHAR  |
|silver      |fbref_keeper               |venue               |5               |VARCHAR  |
|silver      |fbref_keeper               |result              |6               |VARCHAR  |
|silver      |fbref_keeper               |gf                  |7               |INTEGER  |
|silver      |fbref_keeper               |ga                  |8               |INTEGER  |
|silver      |fbref_keeper               |opponent            |9               |VARCHAR  |
|silver      |fbref_keeper               |sota                |10              |INTEGER  |
|silver      |fbref_keeper               |ga_keeper           |11              |INTEGER  |
|silver      |fbref_keeper               |saves               |12              |INTEGER  |
|silver      |fbref_keeper               |save_pct            |13              |DOUBLE   |
|silver      |fbref_keeper               |cs                  |14              |INTEGER  |
|silver      |fbref_keeper               |pk_att              |15              |INTEGER  |
|silver      |fbref_keeper               |pk_allowed          |16              |INTEGER  |
|silver      |fbref_keeper               |pk_saved            |17              |INTEGER  |
|silver      |fbref_keeper               |pk_missed           |18              |INTEGER  |
|silver      |fbref_keeper               |team                |19              |VARCHAR  |
|silver      |fbref_keeper               |season              |20              |VARCHAR  |
|silver      |fbref_keeper               |source              |21              |VARCHAR  |
|silver      |fbref_keeper               |scraped_at          |22              |VARCHAR  |
|silver      |fbref_keeper               |comp_category       |23              |VARCHAR  |
|silver      |fbref_keeper               |raw_team            |24              |VARCHAR  |
|silver      |fbref_keeper               |raw_opponent        |25              |VARCHAR  |
|silver      |fbref_keeper               |result_1n2          |26              |VARCHAR  |
|silver      |fbref_misc                 |date                |1               |DATE     |
|silver      |fbref_misc                 |time                |2               |VARCHAR  |
|silver      |fbref_misc                 |league_source       |3               |VARCHAR  |
|silver      |fbref_misc                 |day                 |4               |VARCHAR  |
|silver      |fbref_misc                 |venue               |5               |VARCHAR  |
|silver      |fbref_misc                 |result              |6               |VARCHAR  |
