nom_schema;nom_table;nom_variable;type_variable;new_nom_variable
audits;scraping_targets_int_fbref_keeper;season;string;str_season
audits;scraping_targets_int_fbref_keeper;team;string;str_team
audits;scraping_targets_int_fbref_shooting;season;string;str_season
audits;scraping_targets_int_fbref_shooting;team;string;str_team
gold;equipe_adversaire_match;date;date/timestamp;dt_date
gold;equipe_adversaire_match;h2h_avg_ga_10;float;dec_h2h_avg_ga_10
gold;equipe_adversaire_match;h2h_avg_gf_10;float;dec_h2h_avg_gf_10
gold;equipe_adversaire_match;h2h_avg_xg_diff_10;float;dec_h2h_avg_xg_diff_10
gold;equipe_adversaire_match;h2h_draw_rate_cutoff;float;dec_h2h_draw_rate_cutoff
gold;equipe_adversaire_match;h2h_home_played;integer;int_h2h_home_played
gold;equipe_adversaire_match;h2h_home_win_rate_cutoff;float;dec_h2h_home_win_rate_cutoff
gold;equipe_adversaire_match;h2h_loss_rate_cutoff;float;dec_h2h_loss_rate_cutoff
gold;equipe_adversaire_match;h2h_played;integer;int_h2h_played
gold;equipe_adversaire_match;h2h_win_rate_cutoff;float;dec_h2h_win_rate_cutoff
gold;equipe_adversaire_match;league_source;string;str_league_source
gold;equipe_adversaire_match;match_id;string;str_match_id
gold;equipe_adversaire_match;opponent_id;string;str_opponent_id
gold;equipe_adversaire_match;season;string;str_season
gold;equipe_adversaire_match;team_id;string;str_team_id
gold;equipe_confrontation_match;match_id;string;str_match_id
gold;equipe_confrontation_match;matchup_high_press_vs_buildup_rolling_10;float;dec_matchup_high_press_vs_buildup_rolling_10
gold;equipe_confrontation_match;matchup_high_press_vs_buildup_rolling_3;float;dec_matchup_high_press_vs_buildup_rolling_3
gold;equipe_confrontation_match;matchup_high_press_vs_buildup_rolling_5;float;dec_matchup_high_press_vs_buildup_rolling_5
gold;equipe_confrontation_match;opp_press_ppda_rolling_10;float;dec_opp_press_ppda_rolling_10
gold;equipe_confrontation_match;opp_press_ppda_rolling_3;float;dec_opp_press_ppda_rolling_3
gold;equipe_confrontation_match;opp_press_ppda_rolling_5;float;dec_opp_press_ppda_rolling_5
gold;equipe_confrontation_match;opp_team_xgbuildup_lag;float;dec_opp_team_xgbuildup_lag
gold;equipe_confrontation_match;opponent_id;string;str_opponent_id
gold;equipe_confrontation_match;self_buildup_resistance_rolling_10;float;dec_self_buildup_resistance_rolling_10
gold;equipe_confrontation_match;self_buildup_resistance_rolling_3;float;dec_self_buildup_resistance_rolling_3
gold;equipe_confrontation_match;self_buildup_resistance_rolling_5;float;dec_self_buildup_resistance_rolling_5
gold;equipe_confrontation_match;self_team_xgbuildup_lag;float;dec_self_team_xgbuildup_lag
gold;equipe_confrontation_match;team_id;string;str_team_id
gold;equipe_confrontation_zone;match_id;string;str_match_id
gold;equipe_confrontation_zone;team_id;string;str_team_id
gold;equipe_gardien_match;match_id;string;str_match_id
gold;equipe_gardien_match;team_id;string;str_team_id
gold;equipe_lineup_match;lineup_avg_aerial_win_rate_lag;float;dec_lineup_avg_aerial_win_rate_lag
gold;equipe_lineup_match;lineup_avg_def_actions_per90_lag;float;dec_lineup_avg_def_actions_per90_lag
gold;equipe_lineup_match;lineup_avg_shots_per90_lag;float;dec_lineup_avg_shots_per90_lag
gold;equipe_lineup_match;lineup_sum_xg_per90_lag;float;dec_lineup_sum_xg_per90_lag
gold;equipe_lineup_match;match_id;string;str_match_id
gold;equipe_lineup_match;n_starters_profiled;integer;int_n_starters_profiled
gold;equipe_lineup_match;team_id;string;str_team_id
gold;equipe_match;attack_center_pct_rolling_10;float;dec_attack_center_pct_rolling_10
gold;equipe_match;attack_center_pct_rolling_3;float;dec_attack_center_pct_rolling_3
gold;equipe_match;attack_center_pct_rolling_5;float;dec_attack_center_pct_rolling_5
gold;equipe_match;attack_left_pct_rolling_10;float;dec_attack_left_pct_rolling_10
gold;equipe_match;attack_left_pct_rolling_3;float;dec_attack_left_pct_rolling_3
gold;equipe_match;attack_left_pct_rolling_5;float;dec_attack_left_pct_rolling_5
gold;equipe_match;attack_right_pct_rolling_10;float;dec_attack_right_pct_rolling_10
gold;equipe_match;attack_right_pct_rolling_3;float;dec_attack_right_pct_rolling_3
gold;equipe_match;attack_right_pct_rolling_5;float;dec_attack_right_pct_rolling_5
gold;equipe_match;avg_ga_rolling_10;float;dec_avg_ga_rolling_10
gold;equipe_match;avg_ga_rolling_3;float;dec_avg_ga_rolling_3
gold;equipe_match;avg_ga_rolling_5;float;dec_avg_ga_rolling_5
gold;equipe_match;avg_gf_rolling_10;float;dec_avg_gf_rolling_10
gold;equipe_match;avg_gf_rolling_3;float;dec_avg_gf_rolling_3
