nom_schema;nom_table;nom_variable_actuel;type_actuel;type_final;new_nom_variable
intermediate;backbone;str_match_id;VARCHAR;VARCHAR;str_match_id
intermediate;backbone;str_team_id;VARCHAR;VARCHAR;str_team_id
intermediate;backbone;str_opponent_id;VARCHAR;VARCHAR;str_opponent_id
intermediate;backbone;dt_date;DATE;DATE;dt_date
intermediate;backbone;str_venue;VARCHAR;VARCHAR;str_venue
intermediate;backbone;str_season;VARCHAR;VARCHAR;str_season
intermediate;backbone;str_league_source;VARCHAR;VARCHAR;str_league_source
intermediate;backbone;str_comp_category;VARCHAR;VARCHAR;str_comp_category
intermediate;backbone;str_result_1n2;VARCHAR;VARCHAR;str_result_1n2
intermediate;backbone;str_formation;VARCHAR;VARCHAR;str_formation
intermediate;backbone;int_gf;INTEGER;INTEGER;int_gf
intermediate;backbone;int_ga;INTEGER;INTEGER;int_ga
intermediate;backbone;int_poss;INTEGER;INTEGER;int_poss
intermediate;backbone;int_shots_on_target_faced;INTEGER;INTEGER;int_shots_on_target_faced
intermediate;backbone;int_saves;INTEGER;INTEGER;int_saves
intermediate;backbone;dec_save_pct;FLOAT;FLOAT;dec_save_pct
intermediate;backbone;int_clean_sheet;INTEGER;INTEGER;int_clean_sheet
intermediate;backbone;int_shots_total;INTEGER;INTEGER;int_shots_total
intermediate;backbone;int_shots_on_target;INTEGER;INTEGER;int_shots_on_target
intermediate;backbone;dec_goals_per_shot;DOUBLE;DOUBLE;dec_goals_per_shot
intermediate;backbone;int_yellow_cards;INTEGER;INTEGER;int_yellow_cards
intermediate;backbone;int_second_yellow_cards;INTEGER;INTEGER;int_second_yellow_cards
intermediate;backbone;int_red_cards;INTEGER;INTEGER;int_red_cards
intermediate;backbone;int_fouls_committed;INTEGER;INTEGER;int_fouls_committed
intermediate;backbone;int_interceptions;INTEGER;INTEGER;int_interceptions
intermediate;backbone;int_tackles_won;INTEGER;INTEGER;int_tackles_won
intermediate;backbone;dec_np_xg;DOUBLE;DOUBLE;dec_np_xg
intermediate;backbone;dec_np_xg_conceded;DOUBLE;DOUBLE;dec_np_xg_conceded
intermediate;backbone;dec_ppda;DOUBLE;DOUBLE;dec_ppda
intermediate;backbone;dec_ppda_allowed;DOUBLE;DOUBLE;dec_ppda_allowed
intermediate;backbone;dec_np_xg_diff_match;DOUBLE;DOUBLE;dec_np_xg_diff_match
intermediate;backbone;dec_odds_pinnacle_team;DOUBLE;DOUBLE;dec_odds_pinnacle_team
intermediate;backbone;dec_odds_pinnacle_draw;DOUBLE;DOUBLE;dec_odds_pinnacle_draw
